participant_id,phase,block,task,,diff_mean,diff_variance,mapping,natural_mapping
2ri,Post-Test,1,avoiding,0,1.1622857142857137,9.864495844155842,reversed,direct
2ri,Post-Test,1,reaching,0,4.036821428571428,27.048245131168823,reversed,direct
2ri,Pre-Test,1,avoiding,0,2.5769464285714285,171.2000664152597,reversed,direct
2ri,Pre-Test,1,reaching,0,1.8998749999999998,209.3898353477273,reversed,direct
2ri,Recap,1,reaching,0,2.2832,11.813580676923076,reversed,direct
2ri,Training,1,reaching,0,2.361774999999999,64.3996025378205,reversed,direct
2ri,Training,2,reaching,0,0.22932499999999917,11.647558071153847,reversed,direct
2ri,Training,3,reaching,0,3.5912749999999987,12.79283430705128,reversed,direct
2ri,Training,4,reaching,0,1.5295999999999996,14.377188348717949,reversed,direct
2ri,Training,5,reaching,0,2.233024999999999,25.57459407628205,reversed,direct
30ri,Post-Test,1,avoiding,0,3.6558571428571427,18.092833870129866,reversed,direct
30ri,Post-Test,1,reaching,0,2.3913035714285713,33.60268221525975,reversed,direct
30ri,Pre-Test,1,avoiding,0,-0.0014107142857144237,154.47208446461042,reversed,direct
30ri,Pre-Test,1,reaching,0,1.1631249999999997,151.09172534772725,reversed,direct
30ri,Recap,1,reaching,0,1.8025499999999994,17.07752122820512,reversed,direct
30ri,Training,1,reaching,0,2.020025,138.43773017884618,reversed,direct
30ri,Training,2,reaching,0,2.9854499999999993,89.0273644076923,reversed,direct
30ri,Training,3,reaching,0,0.5897499999999993,36.40001885897435,reversed,direct
30ri,Training,4,reaching,0,0.42009999999999953,33.25107034871793,reversed,direct
30ri,Training,5,reaching,0,2.5438999999999994,35.956235989743575,reversed,direct
34ri,Post-Test,1,avoiding,0,3.768517857142857,65.26338101785713,reversed,direct
34ri,Post-Test,1,reaching,0,4.896178571428571,48.28714007662337,reversed,direct
34ri,Pre-Test,1,avoiding,0,3.0348035714285713,182.79104568798695,reversed,direct
34ri,Pre-Test,1,reaching,0,10.446321428571428,97.79217153116883,reversed,direct
34ri,Recap,1,reaching,0,3.879074999999999,60.06615653269231,reversed,direct
34ri,Training,1,reaching,0,7.41425,160.39055326923074,reversed,direct
34ri,Training,2,reaching,0,6.447,134.11172743589742,reversed,direct
34ri,Training,3,reaching,0,4.2909749999999995,33.02404869166665,reversed,direct
34ri,Training,4,reaching,0,3.913099999999999,27.687829476923078,reversed,direct
34ri,Training,5,reaching,0,1.3894749999999996,35.182541383974375,reversed,direct
38ri,Post-Test,1,avoiding,0,2.526678571428571,151.39815622207792,reversed,direct
38ri,Post-Test,1,reaching,0,2.314035714285714,111.0662406896104,reversed,direct
38ri,Pre-Test,1,avoiding,0,1.9483928571428568,190.81147929740263,reversed,direct
38ri,Pre-Test,1,reaching,0,-2.0492142857142865,217.98689580779217,reversed,direct
38ri,Recap,1,reaching,0,2.76995,120.42409876666665,reversed,direct
38ri,Training,1,reaching,0,4.817824999999999,206.61220230192302,reversed,direct
38ri,Training,2,reaching,0,4.390174999999999,168.39958640448717,reversed,direct
38ri,Training,3,reaching,0,2.812874999999999,134.0124500608974,reversed,direct
38ri,Training,4,reaching,0,2.3976999999999995,123.9387434974359,reversed,direct
38ri,Training,5,reaching,0,2.060549999999999,130.89828979230768,reversed,direct
42ri,Post-Test,1,avoiding,0,3.648017857142857,10.32780576331169,reversed,direct
42ri,Post-Test,1,reaching,0,3.2813214285714283,15.621664258441559,reversed,direct
42ri,Pre-Test,1,avoiding,0,-1.1277142857142861,230.12581660779222,reversed,direct
42ri,Pre-Test,1,reaching,0,-0.4913571428571427,252.93206896103905,reversed,direct
42ri,Recap,1,reaching,0,1.5819249999999996,17.078992686538452,reversed,direct
42ri,Training,1,reaching,0,2.6946499999999993,162.5251997717949,reversed,direct
42ri,Training,2,reaching,0,-0.2615500000000002,81.83958174102564,reversed,direct
42ri,Training,3,reaching,0,3.150149999999999,17.48685443846154,reversed,direct
42ri,Training,4,reaching,0,0.14832499999999954,14.95814545576923,reversed,direct
42ri,Training,5,reaching,0,1.7907999999999997,29.066906164102548,reversed,direct
46ri,Post-Test,1,avoiding,0,-2.046464285714286,45.26421159870129,reversed,reversed
46ri,Post-Test,1,reaching,0,-3.391928571428572,40.91599715844155,reversed,reversed
46ri,Pre-Test,1,avoiding,0,-1.138214285714286,52.83797824415585,reversed,reversed
46ri,Pre-Test,1,reaching,0,0.7737321428571423,35.059785836038955,reversed,reversed
46ri,Recap,1,reaching,0,-1.6193000000000004,57.248313856410256,reversed,reversed
46ri,Training,1,reaching,0,-0.7414000000000003,31.61166537435897,reversed,reversed
46ri,Training,2,reaching,0,-4.651125,43.26791995833333,reversed,reversed
46ri,Training,3,reaching,0,-3.213075000000001,82.39975643012819,reversed,reversed
46ri,Training,4,reaching,0,-2.9223500000000007,63.07595043846151,reversed,reversed
46ri,Training,5,reaching,0,-3.4453000000000005,48.9319661128205,reversed,reversed
6ri,Post-Test,1,avoiding,0,4.022089285714285,37.74259837370132,reversed,direct
6ri,Post-Test,1,reaching,0,4.933446428571428,19.071266106168835,reversed,direct
6ri,Pre-Test,1,avoiding,0,-0.31696428571428575,224.5450181077922,reversed,direct
6ri,Pre-Test,1,reaching,0,1.9270535714285713,165.84895514253247,reversed,direct
6ri,Recap,1,reaching,0,1.5717249999999992,20.688320512179494,reversed,direct
6ri,Training,1,reaching,0,1.6685249999999994,24.3875971275641,reversed,direct
6ri,Training,2,reaching,0,-0.35095000000000015,33.662620766666656,reversed,direct
6ri,Training,3,reaching,0,0.6488249999999998,62.3819118403846,reversed,direct
6ri,Training,4,reaching,0,1.3753499999999996,57.88017972051281,reversed,direct
6ri,Training,5,reaching,0,0.7528999999999997,76.2651710153846,reversed,direct
